player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Coltin Gerhart,26907,QB,NEW MEXICO,3,66.7,27,30,10.0,2.62,1,1,3.1,56.7,17,0,16,5.6,33,1,13,241,56.0,80.4,75.1,72.8,0,2,35,1,6.3,57.6,3.0,1,2,1,1,1,0,0.0,180,6.0
Noah Vedral,55406,QB,UCF,6,88.9,27,29,3.9,2.47,1,2,6.9,75.9,22,0,10,8.3,35,2,13,323,73.7,71.6,69.6,66.8,0,0,35,1,20.0,116.5,5.7,2,4,0,1,1,2,5.7,276,9.5
Sam Noyer,40048,QB,COLORADO,4,70.8,24,27,10.3,2.86,0,0,0.0,48.1,13,0,12,23.5,33,4,5,143,34.0,45.3,51.8,42.5,1,0,35,0,33.3,60.6,12.1,4,2,0,2,0,0,0.0,119,4.4
Taylor Alie,12829,QB,OREGON,5,73.1,26,27,5.0,2.51,0,0,0.0,70.4,19,0,6,0.0,29,0,6,264,71.9,47.7,41.4,60.5,0,1,29,1,16.7,66.0,3.4,1,1,0,1,0,1,3.4,134,5.0
Shawn Robinson,60551,QB,TCU,4,53.8,26,27,15.0,2.5,0,2,6.9,48.1,13,0,10,7.1,32,1,9,305,17.2,60.2,53.4,64.3,0,0,34,3,10.0,107.6,3.1,1,2,0,1,3,3,8.8,184,6.8
Tommy Stevens,28301,QB,PENN STATE,5,73.1,26,27,8.8,3.03,1,1,3.6,51.9,14,0,12,26.3,33,5,10,266,76.7,88.4,63.5,84.2,0,0,34,0,16.7,106.7,6.1,2,4,0,0,3,1,2.9,158,5.9
Luke Del Rio,46403,QB,FLORIDA,2,70.8,24,25,6.7,2.75,0,1,3.8,64.0,16,0,10,5.9,27,1,7,163,68.0,59.8,61.0,57.3,0,1,28,0,10.0,75.1,3.7,1,1,0,1,1,1,3.6,138,5.5
David Cornwell,27905,QB,NEVADA,1,68.2,22,25,9.2,2.6,0,0,0.0,52.0,13,0,12,13.3,27,2,6,239,68.0,43.3,40.1,63.7,0,3,28,1,8.3,22.0,3.7,1,1,0,3,0,2,7.1,97,3.9
Quinton Maxwell,35203,QB,OHIO,4,72.7,22,24,13.1,2.62,2,2,7.7,58.3,14,0,5,12.5,25,2,8,259,47.6,57.5,63.1,48.9,0,2,27,0,0.0,81.9,0.0,0,1,0,0,2,2,7.4,220,9.2
Garret Lewis,34733,QB,NAVY,4,72.7,22,24,13.5,3.05,0,0,0.0,41.7,10,0,10,37.5,29,6,9,237,74.2,69.2,76.5,55.0,0,2,29,0,20.0,63.7,6.9,2,3,1,1,2,1,3.4,195,8.1
Myles Brennan,60438,QB,LSU,6,62.5,24,24,10.1,3.4,0,1,4.2,58.3,14,0,12,6.7,31,1,9,211,68.8,36.9,39.5,45.4,0,2,31,0,25.0,61.5,9.7,3,4,0,0,1,3,9.7,182,7.6
Hunter Johnson,60362,QB,CLEMSON,5,90.9,22,24,6.5,1.72,2,2,7.7,83.3,20,0,2,0.0,25,0,9,140,69.6,76.3,79.1,55.0,0,1,27,0,0.0,118.4,0.0,0,0,0,0,2,1,3.7,238,9.9
Deuce Wallace,40169,QB,VANDERBILT,3,78.9,19,22,5.7,2.52,0,0,0.0,50.0,11,0,5,26.7,22,4,7,333,67.6,70.7,72.5,,0,0,24,1,0.0,76.7,0.0,0,0,0,3,1,1,4.2,94,4.3
Kasim Hill,60444,QB,MARYLAND,3,95.2,21,21,6.6,2.67,0,1,4.2,85.7,18,0,8,10.0,28,2,12,215,71.9,86.7,88.3,68.1,0,0,31,1,12.5,144.0,3.6,1,6,0,0,2,0,0.0,230,11.0
Nick Holley,47688,QB,KENT STATE,2,57.1,21,21,11.0,2.72,0,1,4.5,47.6,10,0,7,16.7,26,2,7,201,77.9,81.1,75.5,74.7,0,0,28,2,0.0,96.3,0.0,0,5,0,0,2,0,0.0,115,5.5
Logan Bonner,39990,QB,ARK STATE,3,50.0,18,21,14.3,2.62,2,0,0.0,42.9,9,0,10,0.0,23,0,6,113,70.9,45.1,48.8,49.3,0,1,23,0,10.0,47.7,4.3,1,1,0,1,1,2,8.7,70,3.3
Kyler Murray,38334,QB,OKLAHOMA,4,90.0,20,21,8.5,2.64,0,2,8.7,85.7,18,0,3,0.0,24,0,16,261,74.2,81.1,86.3,62.8,0,0,26,0,0.0,158.3,0.0,0,3,0,1,3,0,0.0,359,17.1
